w_l1,w_l2,w_l3,w_l4,w_l5,w_l6,w_u1,w_u2,w_u3,w_u4,w_u5,w_u6
-0.123042924,-0.053297362,-0.036323697,-0.041203642,-0.003318444,-0.009893759,0.241427235,0.238086854,0.287110659,0.238252371,0.284408296,0.246272345
-0.147489299,-0.050386794,-0.031871165,-0.047225584,-0.002779393,-0.008994004,0.222083243,0.213566637,0.273895384,0.189012161,0.29843206,0.240930503
-0.137882691,-0.057188944,-0.029640867,-0.050881905,-0.003000849,-0.010294857,0.241750089,0.261036439,0.269589919,0.205513433,0.305459873,0.273708485
-0.153375159,-0.052822862,-0.032960812,-0.047827771,-0.002600529,-0.010046034,0.237582901,0.219710096,0.262478031,0.236864673,0.278466534,0.239867661
-0.14790916,-0.061761211,-0.027484228,-0.042770169,-0.003390488,-0.009417175,0.244076337,0.257495975,0.327074582,0.216305806,0.282385436,0.243560187
-0.131816885,-0.05535395,-0.027127684,-0.045891925,-0.002934423,-0.010150278,0.218964212,0.266685348,0.3228566,0.220962979,0.254076962,0.311146994
-0.153112308,-0.052626103,-0.030673597,-0.041560644,-0.002894858,-0.010817741,0.196812956,0.211618207,0.30635669,0.182355612,0.261031146,0.264760546
-0.129467469,-0.051664269,-0.029204907,-0.044487702,-0.003295946,-0.010544119,0.189569821,0.255118529,0.332347552,0.200843568,0.324453081,0.27829649
-0.137425965,-0.049175278,-0.029344766,-0.042209023,-0.002796046,-0.010598045,0.187092142,0.261686035,0.277173506,0.239331805,0.257759269,0.287601435
-0.143795774,-0.048728562,-0.030478257,-0.050482055,-0.003246628,-0.009253717,0.237784719,0.247558211,0.294243615,0.227138729,0.30892423,0.250740165
-0.127480075,-0.050631139,-0.034492886,-0.042339268,-0.00336012,-0.010096958,0.217208823,0.234709721,0.297003296,0.223406452,0.27652765,0.2344732
-0.120108096,-0.054363684,-0.035044748,-0.045547923,-0.002872165,-0.010238341,0.208259683,0.230939479,0.335765759,0.233248744,0.248487131,0.255200727
-0.138248136,-0.058462997,-0.029122323,-0.046144113,-0.002920889,-0.00964074,0.240471944,0.233375838,0.311466114,0.198509693,0.301172745,0.280879878
-0.141166661,-0.056866669,-0.032523977,-0.044743029,-0.003190632,-0.009736951,0.18408215,0.259734829,0.289049946,0.231771155,0.323177675,0.2686419
-0.142946497,-0.053724573,-0.027813345,-0.039974468,-0.003206273,-0.009370704,0.22321413,0.243088379,0.256499884,0.193697647,0.261775384,0.266084073
-0.135532621,-0.055986861,-0.034688916,-0.045287557,-0.003038622,-0.008860338,0.220124595,0.243943925,0.25891389,0.228901326,0.306665803,0.275117275
-0.148877742,-0.057664051,-0.028351204,-0.04332011,-0.002730196,-0.009532789,0.239315213,0.248621543,0.337687536,0.190029785,0.292501972,0.231843113
-0.139223274,-0.054183783,-0.029831268,-0.047565369,-0.002861975,-0.009845893,0.192517192,0.270271193,0.285715545,0.209492423,0.257286369,0.284229377
-0.145376225,-0.062119226,-0.027408213,-0.0486798,-0.002670801,-0.009712103,0.194904229,0.258957642,0.292512844,0.234430872,0.329484833,0.276394249
-0.115481759,-0.050107619,-0.030155284,-0.050666179,-0.003110699,-0.008522744,0.246204752,0.250880216,0.305802511,0.243579196,0.27245376,0.303250797
-0.13435103,-0.062439764,-0.029909803,-0.044988994,-0.003089464,-0.008939814,0.218545501,0.236736608,0.319853279,0.214921087,0.330148549,0.260315534
-0.151864831,-0.048470109,-0.031564518,-0.049700463,-0.002643852,-0.010172198,0.186952154,0.222310055,0.326420531,0.24048145,0.332990303,0.300737657
